transaction_id,device_id,ip_address,device_type,country
TXN100000,D1855,192.168.191.91,tablet,IN
TXN100001,D2371,192.168.38.95,mobile,US
TXN100002,D2802,192.168.66.194,desktop,US
TXN100003,D2786,192.168.167.230,mobile,IN
TXN100004,D1693,192.168.212.160,desktop,IN
TXN100005,D2363,192.168.127.192,desktop,KE
TXN100006,D1769,192.168.46.124,desktop,IN
TXN100007,D2685,192.168.76.108,mobile,NG
TXN100008,D1615,192.168.146.211,tablet,US
TXN100009,D1726,192.168.249.236,desktop,IN
TXN100010,D2352,192.168.172.165,mobile,IN
TXN100011,D1533,192.168.113.5,mobile,US
TXN100012,D1575,192.168.152.14,desktop,US
TXN100013,D2026,192.168.74.36,desktop,KE
TXN100014,D1379,192.168.245.9,tablet,NG
TXN100015,D2141,192.168.183.27,tablet,NG
TXN100016,D2494,192.168.216.143,mobile,IN
TXN100017,D1708,192.168.215.170,desktop,NG
TXN100018,D1982,192.168.107.161,mobile,GB
TXN100019,D2587,192.168.13.119,tablet,GB
TXN100020,D1981,192.168.123.60,desktop,KE
TXN100021,D2144,192.168.86.195,desktop,US
TXN100022,D2105,192.168.53.220,tablet,NG
TXN100023,D1027,192.168.167.146,desktop,US
TXN100024,D1297,192.168.133.42,mobile,NG
TXN100025,D1992,192.168.87.139,desktop,US
TXN100026,D2417,192.168.158.116,mobile,US
TXN100027,D1695,192.168.199.237,mobile,IN
TXN100028,D2636,192.168.195.72,desktop,IN
TXN100029,D2628,192.168.81.108,mobile,GB
TXN100030,D1702,192.168.34.98,tablet,GB
TXN100031,D2968,192.168.98.223,tablet,KE
TXN100032,D2361,192.168.20.148,desktop,IN
TXN100033,D1454,192.168.182.139,desktop,NG
TXN100034,D1966,192.168.244.56,mobile,GB
TXN100035,D2189,192.168.190.187,mobile,IN
TXN100036,D1312,192.168.61.157,mobile,US
TXN100037,D2790,192.168.53.159,tablet,KE
TXN100038,D2280,192.168.148.187,mobile,NG
TXN100039,D1893,192.168.33.176,desktop,KE
TXN100040,D1961,192.168.193.39,mobile,NG
TXN100041,D1424,192.168.132.186,tablet,IN
TXN100042,D1208,192.168.171.8,tablet,IN
TXN100043,D2394,192.168.165.243,desktop,KE
TXN100044,D2367,192.168.220.100,desktop,KE
