transaction_id,user_id,amount,currency,timestamp,merchant_id
TXN100000,USER4174,59.63,EUR,2024-04-07 14:22:06,M322
TXN100001,USER4507,74.28,EUR,2024-03-12 01:37:39,M147
TXN100002,USER1860,130.2,USD,2024-01-22 08:04:34,M181
TXN100003,USER2294,3.84,KES,2024-01-30 13:02:58,M277
TXN100004,USER2130,70.59,KES,2024-02-22 15:37:38,M334
TXN100005,USER2095,128.45,KES,2024-01-10 16:37:29,M231
TXN100006,USER4772,22.87,USD,2024-02-17 19:16:28,M289
TXN100007,USER4092,27.0,USD,2024-04-01 19:32:37,M428
TXN100008,USER2638,124.44,USD,2024-02-15 18:32:08,M333
TXN100009,USER3169,262.58,KES,2024-03-31 22:44:33,M269
TXN100010,USER1466,358.85,USD,2024-03-13 06:58:46,M401
TXN100011,USER2238,158.07,KES,2024-02-16 19:13:25,M128
TXN100012,USER1330,128.78,USD,2024-04-13 09:32:16,M421
TXN100013,USER2482,96.99,USD,2024-02-21 02:22:03,M311
TXN100014,USER3135,42.87,USD,2024-03-26 01:12:13,M222
TXN100015,USER4444,31.7,USD,2024-04-02 12:46:54,M305
TXN100016,USER4171,313.94,KES,2024-04-16 00:14:34,M281
TXN100017,USER3919,125.1,USD,2024-02-02 03:04:19,M154
TXN100018,USER4735,312.43,USD,2024-01-24 06:41:04,M167
TXN100019,USER1130,243.54,KES,2024-02-21 20:44:12,M241
TXN100020,USER2685,43.11,EUR,2024-04-11 07:07:39,M328
TXN100021,USER4380,142.8,KES,2024-02-08 03:13:47,M329
TXN100022,USER1769,117.4,EUR,2024-02-01 15:18:20,M229
TXN100023,USER3391,110.29,EUR,2024-01-05 03:00:20,M370
TXN100024,USER2515,156.43,EUR,2024-03-22 01:52:08,M139
TXN100025,USER4485,804.39,EUR,2024-03-21 23:51:39,M297
TXN100026,USER3853,335.22,KES,2024-04-06 13:47:34,M479
TXN100027,USER3433,468.08,EUR,2024-02-27 09:20:19,M157
TXN100028,USER2215,6.02,USD,2024-04-13 01:21:19,M170
TXN100029,USER1955,30.24,USD,2024-01-10 22:54:16,M380
TXN100030,USER3324,17.71,EUR,2024-03-06 04:04:17,M104
TXN100031,USER2184,61.1,USD,2024-02-25 04:32:28,M116
TXN100032,USER1459,116.64,EUR,2024-04-13 21:10:12,M148
TXN100033,USER4385,205.47,USD,2024-04-15 03:01:56,M283
TXN100034,USER1021,138.96,USD,2024-04-23 00:15:32,M425
TXN100035,USER3300,466.99,EUR,2024-02-10 18:27:31,M250
TXN100036,USER1747,562.2,USD,2024-02-13 22:43:51,M239
TXN100037,USER3904,35.71,KES,2024-01-23 07:18:55,M247
TXN100038,USER4632,383.35,USD,2024-03-26 23:09:34,M399
TXN100039,USER1474,131.45,EUR,2024-04-06 10:29:18,M263
TXN100040,USER2082,120.78,KES,2024-04-08 15:08:01,M328
TXN100041,USER3558,307.37,USD,2024-04-24 15:07:25,M266
TXN100042,USER4753,19.55,USD,2024-03-06 01:17:59,M308
TXN100043,USER3047,428.25,KES,2024-01-25 19:30:00,M206
TXN100044,USER4547,222.26,EUR,2024-03-10 13:59:30,M339
TXN100045,USER3747,416.31,KES,2024-02-11 23:13:33,M214
TXN100046,USER1975,1039.79,USD,2024-02-08 15:11:40,M480
